,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
,min,max,median,mean,first,,total,total,total,min,min,min,max,max,max,mean,mean,mean,median,median,median
week,,,,,,,,,,,,,,,,,,,,,
2020-01-13/2020-01-19,142.12,179.0,164.62,161.29285714285714,144.43,9308392.0,1072196.0,3818716.0,44116.0,211161.0,477565.0,6270.0,260709.0,586310.0,6336.0,235316.0,545530.8571428572,6302.285714285715,234994.0,559891.0,6301.0
2020-01-20/2020-01-26,155.35,170.92,165.71,165.1257142857143,165.71,9354104.0,857331.0,2987766.0,43759.0,152736.0,345873.0,6191.0,216556.0,495748.0,6353.0,191631.57142857142,426823.71428571426,6251.285714285715,196120.0,445451.0,6244.0
2020-01-27/2020-02-02,165.07,193.16,175.69,176.3,166.97,9399642.0,841050.0,3168334.0,43775.0,184956.0,410854.0,6225.0,204871.0,482452.0,6294.0,194353.57142857142,452619.14285714284,6253.571428571428,193423.0,456994.0,6246.0
2020-02-03/2020-02-09,184.0,230.67,206.72,204.42428571428573,191.41,9445217.0,1074605.0,3698725.0,43623.0,203174.0,453689.0,6154.0,258650.0,576266.0,6283.0,237843.42857142858,528389.2857142857,6231.857142857143,236734.0,526635.0,6242.0
2020-02-10/2020-02-16,217.0,288.94,262.76,252.71142857142854,225.2,9490743.0,1271115.0,4350239.0,43966.0,244883.0,564583.0,6207.0,319459.0,711464.0,6374.0,273259.28571428574,621462.7142857143,6280.857142857143,269150.0,615077.0,6280.0
2020-02-17/2020-02-23,243.05,287.0,261.72,262.9642857142857,252.0,9536262.0,1215424.0,4088222.0,43898.0,251983.0,537291.0,6236.0,274641.0,621320.0,6316.0,260016.85714285713,584031.7142857143,6271.142857142857,260201.0,594585.0,6250.0
2020-02-24/2020-03-01,210.14,278.01,226.55,240.47142857142856,271.69,9581792.0,1134100.0,4086066.0,43946.0,225755.0,535595.0,6211.0,270198.0,625416.0,6309.0,249240.2857142857,583723.7142857143,6278.0,254184.0,598495.0,6290.0
2020-03-02/2020-03-08,204.01,252.0,231.1,229.26285714285714,215.02,9627374.0,1107306.0,4012007.0,44104.0,225415.0,544896.0,6207.0,269312.0,610576.0,6347.0,245051.42857142858,573143.8571428572,6300.571428571428,246370.0,569099.0,6322.0
2020-03-09/2020-03-15,89.98,212.06,193.15,169.68999999999997,209.6,9672704.0,1150997.0,4378344.0,43684.0,231756.0,574940.0,6116.0,290167.0,717445.0,6309.0,254948.42857142858,625477.7142857143,6240.571428571428,250246.0,610362.0,6243.0
2020-03-16/2020-03-22,101.11,152.54,120.06,123.33714285714287,120.06,9718107.0,1592375.0,4889760.0,43659.0,272431.0,646370.0,6100.0,390338.0,773545.0,6312.0,317762.71428571426,698537.1428571428,6237.0,302348.0,679728.0,6258.0
2020-03-23/2020-03-29,120.65,144.07,135.38,133.89857142857142,124.27,9763097.0,1361916.0,4435929.0,43741.0,225219.0,521118.0,6144.0,316002.0,701156.0,6348.0,281531.28571428574,633704.1428571428,6248.714285714285,295249.0,650490.0,6265.0
2020-03-30/2020-04-05,124.02,150.0,134.68,136.01428571428573,125.65,9808657.0,1143341.0,4121457.0,43965.0,224296.0,518123.0,6255.0,269200.0,621596.0,6320.0,251928.0,588779.5714285715,6280.714285714285,256514.0,615835.0,6268.0
2020-04-06/2020-04-12,142.02,176.29,163.0,160.86285714285714,142.38,9854059.0,1285270.0,4449813.0,43834.0,249358.0,571417.0,6174.0,342384.0,696492.0,6356.0,280377.4285714286,635687.5714285715,6262.0,275349.0,642523.0,6264.0
2020-04-13/2020-04-19,148.49,189.89,164.06,166.51571428571427,164.06,9899481.0,1405015.0,4734823.0,43562.0,283445.0,643899.0,6171.0,326968.0,699044.0,6275.0,300567.5714285714,676403.2857142857,6223.142857142857,300300.0,687873.0,6233.0
2020-04-20/2020-04-26,167.44,199.77,183.0,183.00571428571428,181.6,9944730.0,1450511.0,4912574.0,43275.0,299023.0,680848.0,6158.0,333525.0,725338.0,6204.0,312559.5714285714,701796.2857142857,6182.142857142857,308715.0,696155.0,6182.0
2020-04-27/2020-05-03,190.62,227.22,209.77,205.7214285714286,197.22,9989910.0,1538107.0,5035935.0,43145.0,313616.0,665021.0,6096.0,345216.0,775969.0,6215.0,328484.28571428574,719419.2857142857,6163.571428571428,327581.0,716136.0,6176.0
2020-05-04/2020-05-10,180.97,216.91,208.08,209.3857142857143,208.08,10035103.0,1486447.0,5009446.0,43039.0,296307.0,653795.0,6085.0,341383.0,756719.0,6224.0,320299.85714285716,715635.1428571428,6148.428571428572,326681.0,728834.0,6142.0
2020-05-11/2020-05-17,176.99,209.68,193.26,194.21571428571428,188.59,10080193.0,1411128.0,5036754.0,42684.0,293755.0,689357.0,6044.0,332227.0,754850.0,6153.0,309563.28571428574,719536.2857142857,6097.714285714285,310611.0,716425.0,6095.0
2020-05-18/2020-05-24,191.73,216.95,208.13,208.39857142857144,208.03,10125232.0,1493594.0,5134363.0,42938.0,300669.0,696586.0,6083.0,337358.0,764656.0,6241.0,323765.14285714284,733480.4285714285,6134.0,326266.0,732696.0,6127.0
2020-05-25/2020-05-31,197.11,246.5,206.4,212.81999999999996,206.4,10170215.0,1579940.0,5350842.0,42988.0,317523.0,720452.0,6084.0,374623.0,832773.0,6185.0,339438.85714285716,764406.0,6141.142857142857,335815.0,766604.0,6135.0
2020-06-01/2020-06-07,226.22,253.39,241.67,240.20857142857145,235.6,10215296.0,1670196.0,5495829.0,42955.0,317200.0,727695.0,6016.0,388767.0,854536.0,6225.0,351343.5714285714,785118.4285714285,6136.428571428572,351973.0,780646.0,6145.0
2020-06-08/2020-06-14,185.52,250.12,242.21,240.45000000000002,242.57,10260477.0,1652987.0,5393638.0,43165.0,318531.0,684366.0,6084.0,369304.0,805408.0,6249.0,350734.5714285714,770519.7142857143,6166.428571428572,349315.0,796369.0,6184.0
2020-06-15/2020-06-21,218.21,237.01,231.1,231.0957142857143,234.12,10305732.0,1693556.0,5690529.0,43326.0,346820.0,772627.0,6159.0,374737.0,862689.0,6246.0,358699.71428571426,812932.7142857143,6189.428571428572,356039.0,813213.0,6183.0
2020-06-22/2020-06-28,215.9,249.23,233.61,233.5042857142857,228.99,10350880.0,1813135.0,6524345.0,43162.0,375399.0,894282.0,6088.0,401365.0,960650.0,6234.0,383917.28571428574,932049.2857142857,6166.0,381455.0,935414.0,6159.0
2020-06-29/2020-07-05,221.23,232.76,226.87,227.41285714285712,224.81,10396027.0,1872299.0,6287827.0,43140.0,344127.0,779412.0,6117.0,445285.0,953789.0,6232.0,400675.71428571426,898261.0,6162.857142857143,406678.0,922292.0,6159.0
2020-07-06/2020-07-12,223.59,248.9,238.87,238.24714285714285,224.95,10441345.0,1801076.0,6429056.0,43425.0,372065.0,878381.0,6157.0,406358.0,962323.0,6265.0,392506.71428571426,918436.5714285715,6203.571428571428,391114.0,915480.0,6192.0
2020-07-13/2020-07-19,230.06,245.26,238.17,236.93714285714282,238.75,10486594.0,1777649.0,6826159.0,43372.0,362691.0,946536.0,6147.0,436094.0,1015376.0,6255.0,399220.28571428574,975165.5714285715,6196.0,393958.0,969542.0,6212.0
2020-07-20/2020-07-26,234.48,319.82,245.9,261.2914285714286,235.71,10531700.0,1807905.0,7208613.0,43660.0,377788.0,1001004.0,6167.0,415887.0,1073072.0,6311.0,403745.4285714286,1029801.8571428572,6237.142857142857,413124.0,1027639.0,6241.0
2020-07-27/2020-08-02,306.74,415.05,324.43,335.4957142857143,310.35,10577002.0,1994905.0,7498984.0,43856.0,412246.0,1007027.0,6169.0,484537.0,1121593.0,6311.0,438055.14285714284,1071283.4285714286,6265.142857142857,429771.0,1058988.0,6276.0
